year,province,wage_frequency,noc,gender,age_group,weekly_wage
2018,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,55 years and over,2034.39
2019,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,55 years and over,2100.98
2020,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,55 years and over,2289.84
2021,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Males,55 years and over,2355.75
2017,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,55 years and over,1845.79
2018,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,55 years and over,1836.77
2019,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,55 years and over,2067.17
2020,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,55 years and over,2025.73
2021,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Males,55 years and over,2162.39
2017,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,55 years and over,1816.88
2018,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,55 years and over,1995.72
2019,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,55 years and over,1875.11
2020,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,55 years and over,2001.23
2021,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Males,55 years and over,2030.78
2017,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,55 years and over,1209.63
2018,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,55 years and over,1298.21
2019,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,55 years and over,1280.44
2020,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,55 years and over,1303.28
2021,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Males,55 years and over,1352.53
2017,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,55 years and over,1771.47
2018,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,55 years and over,1902.13
2019,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,55 years and over,1711.55
2020,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,55 years and over,1821.14
2021,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Males,55 years and over,1877.88
2017,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,55 years and over,1165.87
2018,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,55 years and over,1177.4
2019,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,55 years and over,1279.66
2020,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,55 years and over,1264.58
2021,Ontario,Average weekly wage rate,Administrative and financial supervisors and administrative occupations [12],Males,55 years and over,1296.24
2017,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,55 years and over,1094.01
2018,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,55 years and over,1083.13
2019,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,55 years and over,1475.54
2020,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,55 years and over,1436.52
2021,Ontario,Average weekly wage rate,"Finance, insurance and related business administrative occupations [13]",Males,55 years and over,1502.24
2017,Ontario,Average weekly wage rate,Office support occupations [14],Males,55 years and over,879.47
2018,Ontario,Average weekly wage rate,Office support occupations [14],Males,55 years and over,1108.29
2019,Ontario,Average weekly wage rate,Office support occupations [14],Males,55 years and over,961.92
2020,Ontario,Average weekly wage rate,Office support occupations [14],Males,55 years and over,1198.34
2021,Ontario,Average weekly wage rate,Office support occupations [14],Males,55 years and over,965.51
2017,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,55 years and over,919.55
2018,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,55 years and over,913.19
2019,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,55 years and over,899.83
2020,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,55 years and over,963.3
2021,Ontario,Average weekly wage rate,"Distribution, tracking and scheduling co-ordination occupations [15]",Males,55 years and over,989.77
2017,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,55 years and over,1544.75
2018,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,55 years and over,1601.65
2019,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,55 years and over,1702.31
2020,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,55 years and over,1793.77
2021,Ontario,Average weekly wage rate,Natural and applied sciences and related occupations [2],Males,55 years and over,1721.36
2017,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,55 years and over,1706.14
2018,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,55 years and over,1752.38
2019,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,55 years and over,1887.11
2020,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,55 years and over,1970.21
2021,Ontario,Average weekly wage rate,Professional occupations in natural and applied sciences [21],Males,55 years and over,1931.96
2017,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,55 years and over,1347.92
2018,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,55 years and over,1443.0
2019,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,55 years and over,1476.59
2020,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,55 years and over,1506.69
2021,Ontario,Average weekly wage rate,Technical occupations related to natural and applied sciences [22],Males,55 years and over,1397.39
2017,Ontario,Average weekly wage rate,Health occupations [3],Males,55 years and over,1499.03
2018,Ontario,Average weekly wage rate,Health occupations [3],Males,55 years and over,1346.26
2019,Ontario,Average weekly wage rate,Health occupations [3],Males,55 years and over,1406.97
2020,Ontario,Average weekly wage rate,Health occupations [3],Males,55 years and over,1420.72
2021,Ontario,Average weekly wage rate,Health occupations [3],Males,55 years and over,1564.54
2017,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,55 years and over,
2018,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,55 years and over,1359.02
2019,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,55 years and over,
2020,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,55 years and over,
2021,Ontario,Average weekly wage rate,Professional occupations in nursing [30],Males,55 years and over,
2017,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,55 years and over,2166.8
2018,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,55 years and over,1846.52
2019,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,55 years and over,1892.36
2020,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,55 years and over,2329.18
2021,Ontario,Average weekly wage rate,Professional occupations in health (except nursing) [31],Males,55 years and over,2095.1
2017,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,55 years and over,1135.31
2018,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,55 years and over,1273.13
2019,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,55 years and over,1391.94
2020,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,55 years and over,1347.63
2021,Ontario,Average weekly wage rate,Technical occupations in health [32],Males,55 years and over,1539.94
2017,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,55 years and over,990.93
2018,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,55 years and over,973.61
2019,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,55 years and over,881.98
2020,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,55 years and over,864.19
2021,Ontario,Average weekly wage rate,Assisting occupations in support of health services [34],Males,55 years and over,945.69
2017,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,55 years and over,1624.51
2018,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,55 years and over,1797.84
2019,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,55 years and over,1806.91
2020,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,55 years and over,1907.08
2021,Ontario,Average weekly wage rate,"Occupations in education, law and social, community and government services [4]",Males,55 years and over,1851.31
2017,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,55 years and over,1834.91
2018,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,55 years and over,2005.84
2019,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,55 years and over,1870.27
2020,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,55 years and over,2146.42
2021,Ontario,Average weekly wage rate,Professional occupations in education services [40],Males,55 years and over,2098.22
2017,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,55 years and over,1543.84
2018,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,55 years and over,1724.5
2019,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,55 years and over,1772.01
2020,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,55 years and over,1731.51
2021,Ontario,Average weekly wage rate,"Professional occupations in law and social, community and government services [41]",Males,55 years and over,1722.89
2017,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,55 years and over,994.43
2018,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,55 years and over,1113.82
2019,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,55 years and over,1241.3
2020,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,55 years and over,1171.05
2021,Ontario,Average weekly wage rate,"Paraprofessional occupations in legal, social, community and education services [42]",Males,55 years and over,1185.81
2017,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,55 years and over,
2018,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,55 years and over,
2019,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,55 years and over,
2020,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,55 years and over,
2021,Ontario,Average weekly wage rate,Occupations in front-line public protection services [43],Males,55 years and over,
2017,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,55 years and over,1204.43
2018,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,55 years and over,1271.64
2019,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,55 years and over,
2020,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,55 years and over,
2021,Ontario,Average weekly wage rate,"Care providers and educational, legal and public protection support occupations [44]",Males,55 years and over,
2017,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,55 years and over,1273.72
2018,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,55 years and over,1143.05
2019,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,55 years and over,1220.81
2020,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,55 years and over,1534.25
2021,Ontario,Average weekly wage rate,"Occupations in art, culture, recreation and sport [5]",Males,55 years and over,1356.72
2017,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,55 years and over,1422.01
2018,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,55 years and over,1190.16
2019,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,55 years and over,1274.55
2020,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,55 years and over,1672.81
2021,Ontario,Average weekly wage rate,Professional occupations in art and culture [51],Males,55 years and over,1610.1
2017,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,55 years and over,1150.2
2018,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,55 years and over,1122.18
2019,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,55 years and over,1183.06
2020,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,55 years and over,1304.21
2021,Ontario,Average weekly wage rate,"Technical occupations in art, culture, recreation and sport [52]",Males,55 years and over,1298.36
2017,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,55 years and over,854.14
2018,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,55 years and over,896.99
2019,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,55 years and over,895.27
2020,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,55 years and over,1007.38
2021,Ontario,Average weekly wage rate,Sales and service occupations [6],Males,55 years and over,978.91
2017,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,55 years and over,989.12
2018,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,55 years and over,1115.38
2019,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,55 years and over,1011.59
2020,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,55 years and over,1212.27
2021,Ontario,Average weekly wage rate,Retail sales supervisors and specialized sales occupations [62],Males,55 years and over,1086.19
2017,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,55 years and over,924.57
2018,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,55 years and over,861.74
2019,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,55 years and over,887.16
2020,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,55 years and over,949.32
2021,Ontario,Average weekly wage rate,Service supervisors and specialized service occupations [63],Males,55 years and over,966.52
2017,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,55 years and over,930.85
2018,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,55 years and over,990.46
2019,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,55 years and over,1013.0
2020,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,55 years and over,1145.82
2021,Ontario,Average weekly wage rate,Sales representatives and salespersons - wholesale and retail trade [64],Males,55 years and over,1151.09
2017,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,55 years and over,759.14
2018,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,55 years and over,774.77
2019,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,55 years and over,763.62
2020,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,55 years and over,871.89
2021,Ontario,Average weekly wage rate,Service representatives and other customer and personal services occupations [65],Males,55 years and over,839.99
2017,Ontario,Average weekly wage rate,Sales support occupations [66],Males,55 years and over,601.25
2018,Ontario,Average weekly wage rate,Sales support occupations [66],Males,55 years and over,638.5
2019,Ontario,Average weekly wage rate,Sales support occupations [66],Males,55 years and over,659.56
2020,Ontario,Average weekly wage rate,Sales support occupations [66],Males,55 years and over,693.69
2021,Ontario,Average weekly wage rate,Sales support occupations [66],Males,55 years and over,690.17
2017,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,55 years and over,727.97
2018,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,55 years and over,812.95
2019,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,55 years and over,819.12
2020,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,55 years and over,856.18
2021,Ontario,Average weekly wage rate,"Service support and other service occupations, n.e.c. [67]",Males,55 years and over,819.78
2017,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,55 years and over,1108.92
2018,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,55 years and over,1098.43
2019,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,55 years and over,1163.15
2020,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,55 years and over,1218.47
2021,Ontario,Average weekly wage rate,"Trades, transport and equipment operators and related occupations [7]",Males,55 years and over,1237.01
2017,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,55 years and over,
2018,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,55 years and over,1209.13
2019,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,55 years and over,
2020,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,55 years and over,
2021,Ontario,Average weekly wage rate,"Industrial, electrical and construction trades [72]",Males,55 years and over,
2017,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,55 years and over,
2018,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,55 years and over,
2019,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,55 years and over,
2020,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,55 years and over,
2021,Ontario,Average weekly wage rate,Maintenance and equipment operation trades [73],Males,55 years and over,
2017,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,55 years and over,867.87
2018,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,55 years and over,855.29
2019,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,55 years and over,917.86
2020,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,55 years and over,933.65
2021,Ontario,Average weekly wage rate,"Other installers, repairers and servicers and material handlers [74]",Males,55 years and over,976.66
2017,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,55 years and over,1004.17
2018,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,55 years and over,998.86
2019,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,55 years and over,1018.63
2020,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,55 years and over,1096.76
2021,Ontario,Average weekly wage rate,Transport and heavy equipment operation and related maintenance occupations [75],Males,55 years and over,1147.26
2017,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,55 years and over,
2018,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,55 years and over,
2019,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,55 years and over,
2020,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,55 years and over,
2021,Ontario,Average weekly wage rate,"Trades helpers, construction labourers and related occupations [76]",Males,55 years and over,
2017,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,55 years and over,899.43
2018,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,55 years and over,1009.89
2019,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,55 years and over,1090.85
2020,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,55 years and over,
2021,Ontario,Average weekly wage rate,"Natural resources, agriculture and related production occupations [8]",Males,55 years and over,1250.07
2017,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,55 years and over,
2018,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,55 years and over,
2019,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,55 years and over,
2020,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,55 years and over,
2021,Ontario,Average weekly wage rate,"Supervisors and technical occupations in natural resources, agriculture and related production [82]",Males,55 years and over,
2017,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,55 years and over,
2018,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,55 years and over,962.13
2019,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,55 years and over,1041.21
2020,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,55 years and over,
2021,Ontario,Average weekly wage rate,"Workers in natural resources, agriculture and related production [84]",Males,55 years and over,973.48
2017,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,55 years and over,
2018,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,55 years and over,
2019,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,55 years and over,
2020,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,55 years and over,
2021,Ontario,Average weekly wage rate,"Harvesting, landscaping and natural resources labourers [86]",Males,55 years and over,
2017,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,55 years and over,1000.55
2018,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,55 years and over,967.05
2019,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,55 years and over,1047.22
2020,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,55 years and over,1087.8
2021,Ontario,Average weekly wage rate,Occupations in manufacturing and utilities [9],Males,55 years and over,1052.07
2017,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,55 years and over,1382.3
2018,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,55 years and over,1300.52
2019,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,55 years and over,1433.5
2020,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,55 years and over,1412.14
2021,Ontario,Average weekly wage rate,"Processing, manufacturing and utilities supervisors and central control operators [92]",Males,55 years and over,1397.12
2017,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,55 years and over,881.77
2018,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,55 years and over,919.8
2019,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,55 years and over,979.84
2020,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,55 years and over,993.39
2021,Ontario,Average weekly wage rate,Processing and manufacturing machine operators and related production workers [94],Males,55 years and over,978.93
2017,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,55 years and over,940.44
2018,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,55 years and over,936.93
2019,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,55 years and over,960.6
2020,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,55 years and over,1125.01
2021,Ontario,Average weekly wage rate,Assemblers in manufacturing [95],Males,55 years and over,958.05
2017,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,55 years and over,712.27
2018,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,55 years and over,768.42
2019,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,55 years and over,783.01
2020,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,55 years and over,758.46
2021,Ontario,Average weekly wage rate,"Labourers in processing, manufacturing and utilities [96]",Males,55 years and over,847.31
2017,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,25 to 54 years,1058.0
2018,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,25 to 54 years,1092.2
2019,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,25 to 54 years,1139.61
2020,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,25 to 54 years,1205.1
2021,Ontario,Average weekly wage rate,"Total employees, all occupations",Females,25 to 54 years,1234.24
2017,Ontario,Average weekly wage rate,Management occupations [0],Females,25 to 54 years,1662.97
2018,Ontario,Average weekly wage rate,Management occupations [0],Females,25 to 54 years,1664.33
2019,Ontario,Average weekly wage rate,Management occupations [0],Females,25 to 54 years,1726.96
2020,Ontario,Average weekly wage rate,Management occupations [0],Females,25 to 54 years,1809.75
2021,Ontario,Average weekly wage rate,Management occupations [0],Females,25 to 54 years,1864.36
2017,Ontario,Average weekly wage rate,Senior management occupations [00],Females,25 to 54 years,2028.17
2018,Ontario,Average weekly wage rate,Senior management occupations [00],Females,25 to 54 years,2383.68
2019,Ontario,Average weekly wage rate,Senior management occupations [00],Females,25 to 54 years,2045.73
2020,Ontario,Average weekly wage rate,Senior management occupations [00],Females,25 to 54 years,2413.99
2021,Ontario,Average weekly wage rate,Senior management occupations [00],Females,25 to 54 years,2275.96
2017,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,25 to 54 years,1779.73
2018,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,25 to 54 years,1772.92
2019,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,25 to 54 years,1848.72
2020,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,25 to 54 years,1928.7
2021,Ontario,Average weekly wage rate,Specialized middle management occupations [01-05],Females,25 to 54 years,1998.68
2017,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,25 to 54 years,1288.49
2018,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,25 to 54 years,1168.72
2019,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,25 to 54 years,1223.95
2020,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,25 to 54 years,1271.58
2021,Ontario,Average weekly wage rate,Middle management occupations in retail and wholesale trade and customer services [06],Females,25 to 54 years,1423.05
2017,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,25 to 54 years,1472.32
2018,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,25 to 54 years,1356.58
2019,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,25 to 54 years,1610.29
2020,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,25 to 54 years,1882.56
2021,Ontario,Average weekly wage rate,"Middle management occupations in trades, transportation, production and utilities [07-09]",Females,25 to 54 years,1710.53
2017,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,25 to 54 years,1007.66
2018,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,25 to 54 years,1036.66
2019,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,25 to 54 years,1092.25
2020,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,25 to 54 years,1141.11
2021,Ontario,Average weekly wage rate,"Business, finance and administration occupations [1]",Females,25 to 54 years,1173.39
2017,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,25 to 54 years,1308.73
2018,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,25 to 54 years,1331.89
2019,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,25 to 54 years,1427.94
2020,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,25 to 54 years,1447.45
2021,Ontario,Average weekly wage rate,Professional occupations in business and finance [11],Females,25 to 54 years,1458.49
